STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2012,81,80,14,88,0,88,82,61,21,2,0,14,240,373,104,269,56,25,216,3,35,2172,7,90,155,498,0,400,1079,5710
ANDHRA PRADESH,ANANTAPUR,2012,173,123,3,18,0,18,74,63,11,14,1,6,211,581,155,426,41,12,168,3,24,2018,19,195,8,130,0,576,1043,5441
ANDHRA PRADESH,CHITTOOR,2012,91,75,5,28,0,28,56,49,7,3,0,10,136,501,208,293,32,9,217,4,27,622,33,90,269,339,0,520,1398,4465
ANDHRA PRADESH,CUDDAPAH,2012,118,96,2,26,0,26,76,44,32,4,0,9,136,513,154,359,114,76,332,0,6,2355,13,217,37,120,0,500,1360,6110
ANDHRA PRADESH,CYBERABAD,2012,198,113,10,75,0,75,158,102,56,14,0,86,1101,4461,1887,2574,28,168,1762,8,48,4013,45,183,282,976,0,1095,3155,17979
ANDHRA PRADESH,EAST GODAVARI,2012,70,94,3,71,0,71,54,40,14,1,0,16,345,861,281,580,31,82,204,16,38,2222,17,248,160,536,0,559,1317,6945
ANDHRA PRADESH,GUNTAKAL RLY.,2012,7,0,0,1,0,1,1,0,1,1,0,3,0,268,0,268,1,1,0,13,1,11,1,1,1,2,0,2,24,339
ANDHRA PRADESH,GUNTUR,2012,96,68,1,23,0,23,63,53,10,0,0,6,146,708,176,532,31,25,261,25,33,2309,21,252,83,656,0,461,2103,7371
ANDHRA PRADESH,GUNTUR URBAN,2012,56,53,3,24,0,24,42,32,10,2,0,29,155,904,409,495,11,16,294,7,15,1072,9,84,83,687,0,229,912,4687
ANDHRA PRADESH,HYDERABAD CITY,2012,102,166,6,74,0,74,88,31,57,12,0,57,647,3694,1370,2324,354,71,2131,25,101,3381,23,145,141,1339,0,503,2932,15992
